state,model,year,tas_degree
Alabama,All Models,2015,17.95798806218027
Alabama,All Models,2016,17.95529480581211
Alabama,All Models,2017,18.02156622979274
Alabama,All Models,2018,18.109974902696205
Alabama,All Models,2019,18.119717749648228
Alabama,All Models,2020,18.193170055843886
Alabama,All Models,2021,18.171188438957227
Alabama,All Models,2022,18.172387915656046
Alabama,All Models,2023,18.329771729984603
Alabama,All Models,2024,18.372217558896377
Alabama,All Models,2025,18.327150353130886
Alabama,All Models,2026,18.370624562698328
Alabama,All Models,2027,18.396679032716737
Alabama,All Models,2028,18.486556876269056
Alabama,All Models,2029,18.451160178543834
Alabama,All Models,2030,18.557944984484777
Alabama,All Models,2031,18.635330566562175
Alabama,All Models,2032,18.6053194808473
Alabama,All Models,2033,18.6083519264504
Alabama,All Models,2034,18.59315774851834
Alabama,All Models,2035,18.661188971859307
Alabama,All Models,2036,18.8097319192509
Alabama,All Models,2037,18.750403847335118
Alabama,All Models,2038,18.84980884615339
Alabama,All Models,2039,18.85687317829938
Alabama,All Models,2040,18.818914938754745
Alabama,All Models,2041,18.837104186594836
Alabama,All Models,2042,18.89891471654342
Alabama,All Models,2043,18.919278383515596
Alabama,All Models,2044,18.923355648687
Alabama,All Models,2045,19.04757637690979
Alabama,All Models,2046,19.076174359764583
Alabama,All Models,2047,19.052093562141817
Alabama,All Models,2048,19.102140503763525
Alabama,All Models,2049,19.074421923277832
Alabama,All Models,2050,19.188381366000172
Alabama,All Models,2051,19.258299024177344
Alabama,All Models,2052,19.331982317837824
Alabama,All Models,2053,19.41360408898558
Alabama,All Models,2054,19.463089613481024
Alabama,All Models,2055,19.384621036413968
Alabama,All Models,2056,19.45440674984096
Alabama,All Models,2057,19.400236858021152
Alabama,All Models,2058,19.602767516627477
Alabama,All Models,2059,19.617636570786008
Alabama,All Models,2060,19.478902701175596
Alabama,All Models,2061,19.61642231796729
Alabama,All Models,2062,19.568053921786245
Alabama,All Models,2063,19.62158844687724
Alabama,All Models,2064,19.638445432258397
Alabama,All Models,2065,19.6726461583918
Alabama,All Models,2066,19.729152841279024
Alabama,All Models,2067,19.821999382250258
Alabama,All Models,2068,19.83170702385182
Alabama,All Models,2069,19.850734433260854
Alabama,All Models,2070,19.8811773935954
Alabama,All Models,2071,19.860060697613363
Alabama,All Models,2072,19.970323342988006
Alabama,All Models,2073,19.8837922529741
Alabama,All Models,2074,19.863487174294235
Alabama,All Models,2075,19.9317452517423
Alabama,All Models,2076,20.008175693858774
Alabama,All Models,2077,19.98207641370371
Alabama,All Models,2078,19.978303342877034
Alabama,All Models,2079,20.064465852217264
Alabama,All Models,2080,20.087561485984132
Alabama,All Models,2081,20.03911248409389
Alabama,All Models,2082,20.16020000342169
Alabama,All Models,2083,20.01683200489393
Alabama,All Models,2084,20.067030507868008
Alabama,All Models,2085,20.08755348667956
Alabama,All Models,2086,20.139137476140824
Alabama,All Models,2087,20.15912851275822
Alabama,All Models,2088,20.163103381070247
Alabama,All Models,2089,20.267656511248987
Alabama,All Models,2090,20.220549253983954
Alabama,All Models,2091,20.28852164528589
Alabama,All Models,2092,20.335015291156214
Alabama,All Models,2093,20.3902038574219
Alabama,All Models,2094,20.321036448623218
Alabama,All Models,2095,20.32514308582655
Alabama,All Models,2096,20.342808243722647
Alabama,All Models,2097,20.376414316350786
Alabama,All Models,2098,20.306919502489517
Alabama,All Models,2099,20.289429820667635
Alabama,All Models,2100,20.315478388468446
Arizona,All Models,2015,16.897700216138166
Arizona,All Models,2016,16.896200239126472
Arizona,All Models,2017,16.92737133196335
Arizona,All Models,2018,16.99855443398786
Arizona,All Models,2019,17.141593276296724
Arizona,All Models,2020,16.99162548813438
